0010,P0010 Variable Valve Timing Control (VTC) Oil Control Solenoid Valve Malfunction
0011,P0011 Variable Valve Timing Control (VTC) System Malfunction
0101,P0101 Mass Airflow (MAF) Sensor Range/Performance Problem
0102,P0102 Mass Airflow (MAF) Sensor Circuit Low Voltage
0103,P0103 Mass Airflow (MAF) Sensor Circuit High Voltage
0106,P0106 Manifold Absolute Pressure (MAP) Sensor Range/Performance Problem
0107,P0107 Manifold Absolute Pressure (MAP) Sensor Circuit Low Voltage
0108,P0108 Manifold Absolute Pressure (MAP) Sensor Circuit High Voltage
0111,P0111 Intake Air Temperature (IAT) Sensor Circuit Range/Performance Problem
0112,P0112 Intake Air Temperature (IAT) Sensor Circuit Low Voltage
0113,P0113 Intake Air Temperature (IAT) Sensor Circuit High Voltage
0116,P0116 Engine Coolant Temperature (ECT) Sensor Circuit Range/Performance Problem
0117,P0117 Engine Coolant Temperature (ECT) Sensor Circuit Low Input
0118,P0118 Engine Coolant Temperature (ECT) Sensor Circuit High Input
0122,P0122 Throttle Position (TP) Sensor Circuit Low Input
0123,P0123 Throttle Position (TP) Sensor Circuit High Input
0125,P0125 Engine Coolant Temperature (ECT) Sensor Slow Response
0128,P0128 Cooling System Malfunction
0131,P0131 Primary Heated Oxygen Sensor (Primary HO2S) (Sensor 1) Circuit Low Voltage
0132,P0132 Primary Heated Oxygen Sensor (Primary HO2S) (Sensor 1) Circuit High Voltage
0133,"P0133 Rear Air/Fuel Ratio (A/F) Sensor (Bank 1, Sensor 1) Circuit Slow Response"
0134,P0134 Air/Fuel Ratio (A/F) Sensor (Sensor 1) No Activity Detected
0135,P0135 Primary Heated Oxygen Sensor (Primary HO2S) (Sensor 1) Heater Circuit Malfunction
0137,P0137 Secondary Heated Oxygen Sensor (Secondary HO2S) Circuit Low Voltage
0138,P0138 Secondary Heated Oxygen Sensor (Secondary HO2S) Circuit High Voltage
0139,P0139 Secondary Heated Oxygen Sensor (Secondary HO2S) Slow Response
0141,P0141 Secondary Heated Oxygen Sensor (Secondary HO2S) (Sensor 2) Heater Circuit Malfunction
0143,P0143 Third Heated Oxygen Sensor (Third HO2S) (Sensor 3) Circuit Low Voltage
0144,P0144 Third Heated Oxygen Sensor (Third HO2S) (Sensor 3) Circuit High Voltage
0145,P0145 Third Heated Oxygen Sensor (Third HO2S) (Sensor 3) Circuit Slow Response
0147,P0147 Third Heated Oxygen Sensor (Third HO2S) (Sensor 3) Heater Circuit Malfunction
0153,"P0153 Front Air/Fuel Ratio (A/F) Sensor (Bank 2, Sensor 1) Circuit Slow Response"
0154,"P0154 Front Air/Fuel Ratio (A/F) Sensor (Bank 2, Sensor 1) Heater System Malfunction"
0155,"P0155 Front Air/Fuel Ratio (A/F) Sensor (Bank 2, Sensor 1) Heater Circuit Malfunction"
0157,"P0157 Front Secondary Heated Oxygen Sensor (Secondary HO2S) (Bank 2, Sensor 2)"
0158,"P0158 Front Secondary Heated Oxygen Sensor (Secondary HO2S) (Bank 2, Sensor 2)"
0159,"P0159 Front Secondary Heated Oxygen Sensor (Secondary HO2S) (Bank 2, Sensor 2)"
0161,"P0161 Front Secondary Heated Oxygen Sensor (Secondary HO2S) (Bank 2, Sensor 2)"
0171,P0171 Fuel System Too Lean
0172,P0172 Fuel System Too Rich
0174,P0174 Front Bank (Bank 2) Fuel System Too Lean
0175,P0175 Front Bank (Bank 2) Fuel System Too Rich
0191,P0191 Fuel Pressure Sensor Range/Performance Problem
0192,P0192 Fuel Pressure Sensor Circuit Low Voltage
0193,P0193 Fuel Pressure Sensor Circuit High Voltage
0196,P0196 EOT Sensor/Range Performance Problem
0197,P0197 EOT Sensor Circuit Low Voltage
0198,P0198 EOT Sensor Circuit High Voltage
0222,P0222 Throttle Position (TP) Sensor 2 Circuit Low Voltage
0223,P0223 Throttle Position (TP) Sensor 2 Circuit High Voltage
0300,P0300 Random Misfire
0301,P0301 No. 1 Cylinder Misfire
